"Df_ID","DateTime","Time","exp_day","Photoperiod","ZT","Sex","Group","Treatment","Cohort","Animal","EBalance","EB.cum","VO2","VCO2","VH2O","EE.cum","EE","RER","FoodIn.kcal","FoodIn.g","FoodIn.cum","FoodIn.cum.kcal","WaterIn.g","WaterIn.cum","BodyMass","AllMeters.cum","AllMeters"
"1",2021-10-18 18:30:30,0,1,"0",12,"M","mHFD","chABC",1,"264",-0.232153055,2.407021705,0.815672855,0.734858025,0.164275303,1.590335075,0.241639175,0.90143744,0.00948612,0.0022586,0.8976128,3.76997376,0,0.1638486,12.828468,28.599515701,0.553533543
"1",2021-10-18 19:30:30,1,1,"0",13,"M","mHFD","chABC",1,"264",1.017870905,3.20536191,1.08629323,1.022916425,0.1455526415,1.91508069,0.324745615,0.94178888,1.34261652,0.3196706,1.188426,4.9913892,0.1676912,0.3264464,12.9294145,35.673973211,7.07445751
"1",2021-10-18 20:30:30,2,1,"0",14,"M","mHFD","chABC",1,"264",0.239249045,3.647065425,0.967817535,0.87106435,0.238995105,2.201734645,0.286653955,0.89715526,0.525903,0.125215,1.344368,5.6463456,0.0686676,0.4002074,13.000373,43.026245127,7.352271916
"1",2021-10-18 21:30:30,3,1,"0",15,"M","mHFD","chABC",1,"264",0.39536405,3.94734066,1.005164015,0.930947285,0.21787486,2.501193395,0.29945875,0.92073347,0.6948228,0.165434,1.509802,6.3411684,0.13139,0.5004882,12.953632,47.398899024,4.372653897
"1",2021-10-18 22:30:30,4,1,"0",16,"M","mHFD","chABC",1,"264",-0.336134065,3.822140885,1.124425565,1.058655685,0.2210035,2.83732746,0.336134065,0.940268535,0,0,1.509802,6.3411684,0.2411703,0.7727677,13.2116245,58.012737721,10.613838697
"1",2021-10-18 23:30:30,5,1,"0",17,"M","mHFD","chABC",1,"264",-0.24097693,3.493144145,0.80824348,0.75135145,0.172537435,3.07830439,0.24097693,0.92723824,0,0,1.509802,6.3411684,0,0.7727677,13.1929,58.610668578,0.597930857
"1",2021-10-19 00:30:30,6,2,"0",18,"M","mHFD","chABC",1,"264",-0.204363065,3.247242745,1.1844252,1.13023625,0.178983435,3.433376055,0.355071665,0.9547119,0.1507086,0.0358829999999999,1.543284,6.4817928,0.2388063,1.011574,13.469924,69.638882108,11.02821353
"1",2021-10-19 01:30:30,7,2,"0",19,"M","mHFD","chABC",1,"264",1.12267439,4.181175335,1.183331885,1.1159491,0.22838693,3.787241065,0.35386501,0.94264287,1.4765394,0.351557,1.877101,7.8838242,0.175383,1.186957,13.918835,80.181493008,10.5426109
"1",2021-10-19 02:30:30,8,2,"0",20,"M","mHFD","chABC",1,"264",0.807316479999999,5.05863547,1.173110765,1.099471555,0.23227149,4.137595785,0.35035472,0.936817185,1.1576712,0.275636,2.172878,9.1260876,0.0609739999999999,1.247931,14.1233065,95.679432398,15.49793939
"1",2021-10-19 03:30:30,9,2,"0",21,"M","mHFD","chABC",1,"264",0.30145186,5.29797701,1.07005481,1.002953665,0.24830879,4.457176925,0.31958114,0.93796977,0.621033,0.147865,2.319266,9.7409172,0.0209940000000002,1.268925,14.1075635,118.182293048,22.50286065
"1",2021-10-19 04:30:30,10,2,"0",22,"M","mHFD","chABC",1,"264",-0.26568735,5.27450658,0.89223896,0.82442047,0.19703704,4.722864275,0.26568735,0.92439091,0,0,2.320743,9.7471206,0,1.268925,14.088717,118.74980551,0.567512462
"1",2021-10-19 05:30:30,11,2,"0",23,"M","mHFD","chABC",1,"264",-0.242912145,5.01100771,0.818605535,0.743590645,0.13980162,4.96577642,0.242912145,0.9084803,0,0,2.320743,9.7471206,0,1.268925,14.0698705,119.134769437,0.384963927
"1",2021-10-19 06:30:30,12,2,"1",0,"M","mHFD","chABC",1,"264",1.01429446,5.83852315,1.064809295,1.02022478,0.1495687205,5.28526336,0.31948694,0.95857958,1.3337814,0.317567,2.63831,11.080902,0.184087,1.453012,14.1878915,133.159182837,14.0244134
"1",2021-10-19 07:30:30,13,2,"1",1,"M","mHFD","chABC",1,"264",-0.254062385,5.78036982,0.869730675,0.72944341,0.150654582,5.539325745,0.254062385,0.834656335,0,0,2.63831,11.080902,0,1.453012,14.1796375,134.271060194,1.111877357
"1",2021-10-19 08:30:30,14,2,"1",2,"M","mHFD","chABC",1,"264",-0.24592884,5.5289456,0.84909423,0.68041004,0.129696248,5.785254585,0.24592884,0.80054417,0,0,2.63831,11.080902,0,1.453012,14.138363,134.696078478,0.425018284
"1",2021-10-19 09:30:30,15,2,"1",3,"M","mHFD","chABC",1,"264",0.285117129999999,5.580764545,0.98499917,0.838893405,0.1327628295,6.073836455,0.28858187,0.84601064,0.573698999999999,0.136595,2.75422,11.567724,0.0814509999999999,1.534463,14.0850355,141.230517581,6.534439103
"1",2021-10-19 10:30:30,16,2,"1",4,"M","mHFD","chABC",1,"264",-0.0331898849999993,5.787034225,1.00633387,0.88916194,0.19086461,6.37079894,0.296962485,0.88168172,0.263772600000001,0.0628030000000002,2.837708,11.9183736,0,1.534463,14.1721915,154.242451271,13.01193369
"1",2021-10-19 11:30:30,17,2,"1",5,"M","mHFD","chABC",1,"264",-0.2447913,5.53600951,0.84828756,0.66614266,0.154119085,6.61559024,0.2447913,0.785238275,0,0,2.837708,11.9183736,0,1.534463,14.156314,154.317494006,0.075042735
"1",2021-10-19 12:30:30,18,2,"1",6,"M","mHFD","chABC",1,"264",-0.230390320000001,5.291139375,0.83847369,0.66555475,0.12817839,6.85802196,0.24243172,0.7911103,0.0120413999999989,0.00286699999999973,2.840575,11.930415,0,1.534463,14.0759265,156.304203187,1.986709181
"1",2021-10-19 13:30:30,19,2,"1",7,"M","mHFD","chABC",1,"264",0.200409965000001,5.272803005,0.84064081,0.655079955,0.123269925,7.100270995,0.242249035,0.7756311,0.442659000000001,0.105395,2.923182,12.2773644,0,1.534463,13.995542,157.325412952,1.021209765
"1",2021-10-19 14:30:30,20,2,"1",8,"M","mHFD","chABC",1,"264",3.527822785,8.848037245,1.05415534,0.985711535,0.15538845,7.41494841,0.314677415,0.9336738,3.8425002,0.914881,3.860851,16.2155742,0.127126,1.636666,14.0735115,168.150882726,10.825469774
"1",2021-10-19 15:30:30,21,2,"1",9,"M","mHFD","chABC",1,"264",-0.264747335,8.788081105,0.886866725,0.829397805,0.169490035,7.679695745,0.264747335,0.934397565,0,0,3.860851,16.2155742,0.0102629999999999,1.671852,14.09744,172.395358971,4.244476245
"1",2021-10-19 16:30:30,22,2,"1",10,"M","mHFD","chABC",1,"264",-0.245025545,8.523155935,0.829079565,0.738116295,0.128175145,7.92472129,0.245025545,0.89050759,0,0,3.860851,16.2155742,0,1.671852,14.044996,172.885410296,0.490051325
"1",2021-10-19 17:30:30,23,2,"1",11,"M","mHFD","chABC",1,"264",0.0725007800000016,8.418052335,1.07244016,1.016742425,0.131792905,8.24578151,0.32106022,0.947465085,0.393561000000002,0.0937050000000004,3.954556,16.6091352,0.132758,1.80461,13.9925515,183.154223916,10.26881362
"1",2021-10-19 18:30:30,24,2,"0",12,"M","mHFD","chABC",1,"264",-0.214891430000001,8.34648203,0.915669905,0.795975195,0.1231016925,8.51512174,0.26934023,0.86627746,0.054448799999999,0.0129639999999998,3.954556,16.6091352,0,1.80461,13.940108,188.781375298,5.627151382
"1",2021-10-19 19:30:30,25,2,"0",13,"M","mHFD","chABC",1,"264",1.82664983,9.97511209,1.07277484,0.977730785,0.1492615565,8.83367231,0.31855057,0.911633235,2.1452004,0.510762,4.452533,18.7006386,0.167307,1.955041,13.8891095,194.089983978,5.30860868
"1",2021-10-19 20:30:30,26,2,"0",14,"M","mHFD","chABC",1,"264",0.0571686699999996,10.24065667,1.02710453,0.944014235,0.202094855,9.13918624,0.30551393,0.91620789,0.3626826,0.0863529999999999,4.564635,19.171467,0.0101930000000001,1.98211,13.959788,201.439120773,7.349136795
"1",2021-10-19 21:30:30,27,2,"0",15,"M","mHFD","chABC",1,"264",0.295678279999999,10.32795904,0.896236415,0.788120275,0.167900065,9.40340996,0.26422372,0.877895645,0.559901999999999,0.13331,4.672539,19.6246638,0,1.98211,13.932371,202.883532993,1.44441222
"1",2021-10-19 22:30:30,28,2,"0",16,"M","mHFD","chABC",1,"264",1.161481115,11.489440155,1.1898085,1.12276325,0.21514931,9.759258645,0.355848685,0.943485,1.5173298,0.361269,5.034924,21.1466808,0.213204,2.195314,14.0103845,210.864336983,7.98080399
"1",2021-10-19 23:30:30,29,2,"0",17,"M","mHFD","chABC",1,"264",-0.0623410749999994,11.538744645,0.919256155,0.86113897,0.18218117,10.03377112,0.274512475,0.934631355,0.212171400000001,0.0505170000000001,5.109731,21.4608702,0,2.195314,14.1057455,213.153628401,2.289291418
"1",2021-10-20 00:30:30,30,3,"0",18,"M","mHFD","chABC",1,"264",1.014502785,12.45698601,1.23850075,1.2009572,0.19908391,10.406322535,0.372551415,0.96984706,1.3870542,0.330251,5.438422,22.8413724,0.260285,2.455599,14.280792,223.932026101,10.7783977
"1",2021-10-20 01:30:30,31,3,"0",19,"M","mHFD","chABC",1,"264",0.473012150000001,12.914614015,1.06303308,1.015272085,0.19798247,10.725060785,0.31873825,0.95710749,0.791750400000001,0.188512,5.604204,23.5376568,0.0513380000000003,2.506937,14.4818325,229.082325607,5.150299506
"1",2021-10-20 02:30:30,32,3,"0",20,"M","mHFD","chABC",1,"264",1.125280245,14.13709006,1.2803454,1.22048695,0.247612445,11.10880274,0.383741955,0.95340981,1.5090222,0.359291,5.987785,25.148697,0.26239,2.769327,14.7453585,240.517078637,11.43475303
"1",2021-10-20 03:30:30,33,3,"0",21,"M","mHFD","chABC",1,"264",0.488930740000001,14.62913517,1.2974068,1.21151375,0.276821285,11.4959836,0.38718086,0.93412418,0.876111600000001,0.208598,6.196383,26.0248086,0.199128,2.968455,15.0597045,257.739964037,17.2228854
"1",2021-10-20 04:30:30,34,3,"0",22,"M","mHFD","chABC",1,"264",-0.00488003000000059,14.60711393,1.16980803,1.074539315,0.274728635,11.84390283,0.34791923,0.91975366,0.343039199999999,0.0816759999999999,6.278059,26.3678478,0,2.968455,15.1876385,275.814700837,18.0747368
"1",2021-10-20 05:30:30,35,3,"0",23,"M","mHFD","chABC",1,"264",-0.28386366,14.507192025,0.959451275,0.858827895,0.21119306,12.12776649,0.28386366,0.89169511,0,0,6.278059,26.3678478,0,2.968455,15.146949,280.946109218,5.131408381
"1",2021-10-20 06:30:30,36,3,"1",0,"M","mHFD","chABC",1,"264",-0.27652668,14.22497178,0.939721745,0.818566315,0.15099780895,12.40429317,0.27652668,0.871178485,0,0,6.278059,26.3678478,0,2.968455,15.0941865,281.428256498,0.48214728
"1",2021-10-20 07:30:30,37,3,"1",1,"M","mHFD","chABC",1,"264",0.310515645,14.290486965,1.152701055,1.085673325,0.1460272075,12.748906125,0.344612955,0.93936573,0.6551286,0.155983,6.434042,27.0229764,0.277337,3.245792,15.1066725,292.892856438,11.46459994
"1",2021-10-20 08:30:30,38,3,"1",2,"M","mHFD","chABC",1,"264",-0.272219835,14.2600534,0.926058985,0.802349855,0.178511905,13.02112596,0.272219835,0.865561295,0,0,6.434042,27.0229764,0,3.245792,15.236168,297.147464643,4.254608205
"1",2021-10-20 09:30:30,39,3,"1",3,"M","mHFD","chABC",1,"264",-0.264069365,13.988524,0.912069535,0.72937604,0.162371765,13.285195325,0.264069365,0.79930321,0,0,6.434042,27.0229764,0,3.245792,15.072265,297.752719769,0.605255126
"1",2021-10-20 10:30:30,40,3,"1",4,"M","mHFD","chABC",1,"264",-0.135803785000001,13.725431705,0.899999115,0.6998282,0.13084737,13.54444971,0.259254385,0.77670353,0.123450599999999,0.0293929999999998,6.446612,27.0757704,0,3.245792,14.908365,298.93283454,1.180114771
"1",2021-10-20 11:30:30,41,3,"1",5,"M","mHFD","chABC",1,"264",0.296013810000002,13.96015658,1.07774526,0.982750725,0.155202545,13.8645087,0.32005899,0.91163606,0.616072800000002,0.146684,6.610119,27.7624998,0.154948,3.40074,14.8393605,311.66122769,12.72839315
"1",2021-10-20 12:30:30,42,3,"1",6,"M","mHFD","chABC",1,"264",-0.249367485,13.886251785,0.86264647,0.68393736,0.146533655,14.113876185,0.249367485,0.7935292,0,0,6.610119,27.7624998,0,3.40074,14.898673,311.734134188,0.072906498
"1",2021-10-20 13:30:30,43,3,"1",7,"M","mHFD","chABC",1,"264",0.72496532,14.373588935,1.024507645,0.907178955,0.130232075,14.416331665,0.30245548,0.88294986,1.0274208,0.244624,6.820264,28.6451088,0,3.40074,14.8287005,317.172182608,5.43804842
"1",2021-10-20 14:30:30,44,3,"1",8,"M","mHFD","chABC",1,"264",0.0254906349999998,14.64481338,0.97293202,0.876058785,0.18088543,14.70452643,0.288194765,0.897364415,0.3136854,0.0746869999999999,6.92943,29.103606,0.0953060000000003,3.496046,15.0383865,324.864199269,7.692016661
